﻿Title:,"Table 6 - Tuition fees and education contracts analysed by HE provider, domicile, mode, level, source"
Subtitle:,"Academic years 2016/17 to 2024/25"
Reference ID:,DT031 Table 6
Data source:,HESA / OfS
Data source link:,https://www.hesa.ac.uk/data-and-analysis/finances/table-6
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/finances/table-6.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Source of fee,Total 
,Academic year,2023/24 
,Financial Year End,All 
Search:,


"","","(£000s)"
"UKPRN","HE Provider","Financial Year End","Total Home fees","Total Rest of UK fees","Total UK fees","Total EU fees","Total UK and EU fees","Total Non-EU fees","Total Non-UK fees","Total HE course fees","Total research training support grants","Non-credit bearing course fees","FE course fees","Total tuition fees and education contracts","Of which: Net fee income relating to contracted out activity "
"10057213","CEG UFP Limited","2023-08-31","","","204","","","","54,315","54,519","0","0","0","54,519","0"
"10001264","Central School of Ballet","2024-07-31","","","763","","","","880","1,643","0","288","0","1,931","0"
"10024024","Central Film School","2023-09-30","","","1,156","","","","350","1,506","0","147","0","1,653","0"
"10007848","University of Chester","2024-07-31","","","73,397","","","","41,291","114,688","0","519","0","115,207","0"
"10007137","The University of Chichester","2024-07-31","","","43,937","","","","3,246","47,183","0","201","0","47,384","80"
"10001386","Chicken Shed Theatre Company","2024-03-31","","","434","","","","0","434","0","0","0","434","0"
"10001546","The College of Integrated Chinese Medicine","2023-11-30","","","1,085","","","","75","1,160","0","138","0","1,298","0"
"10026921","Christ the Redeemer College","2024-07-31","","","2,043","","","","0","2,043","0","99","0","2,142","0"
"10010213","The City College","2024-06-30","","","1,424","","","","0","1,424","0","0","0","1,424","0"
"10001478","City St George's, University of London","2024-07-31","","","122,705","","","","111,247","233,952","371","8,193","0","242,516","0"
"10007912","Cliff College","2023-08-31","","","350","","","","16","366","0","60","0","426","0"
"10066502","The College of Health Ltd","2023-08-31","","","1,632","","","","621","2,253","0","32","0","2,285","0"
"10091065","Collective Acting Studio","2023-08-31","","","0","","","","0","0","0","0","0","0","0"
"10023442","The College of Osteopaths","2023-08-31","","","647","","","","0","647","0","0","0","647","0"
"10020038","Commonwealth College of Excellence","2024-06-30","","","432","","","","0","432","0","0","0","432","0"
"10081618","The Council of the Inns of Court","2023-12-31","","","1,755","","","","121","1,876","0","0","0","1,876","0"
"10007761","Courtauld Institute of Art","2024-07-31","","","4,221","","","","4,492","8,713","0","22","0","8,735","0"
"10034324","Court Theatre Training Company Ltd","2023-08-31","","","389","","","","0","389","0","0","0","389","0"
"10001726","Coventry University","2024-07-31","","","124,065","","","","203,086","327,151","0","7,360","318","334,829","0"
"10007822","Cranfield University","2024-07-31","","","24,291","","","","47,513","71,804","0","20,639","0","92,443","0"
"10006427","University for the Creative Arts","2024-07-31","","","73,224","","","","40,519","113,743","0","933","194","114,870","6,669"
"10007842","University of Cumbria","2024-07-31","","","51,899","","","","3,242","55,141","0","2,026","0","57,167","0"
"10015688","David Game College Ltd","2024-01-31","","","2,029","","","","0","2,029","0","0","9,723","11,752","0"
"10001883","De Montfort University","2024-07-31","","","122,866","","","","92,166","215,032","0","912","85","216,029","0"
"10007851","University of Derby","2024-07-31","","","104,793","","","","50,780","155,573","0","154","399","156,126","928"
"10007143","University of Durham","2024-07-31","","","123,914","","","","164,541","288,455","9,372","4,051","0","301,878","0"
"10067355","Dyson Technical Training Limited","2023-12-31","","","574","","","","0","574","0","0","0","574","0"
"10007789","The University of East Anglia","2024-07-31","","","112,591","","","","52,691","165,282","2,802","1,448","0","169,532","0"
"10007144","The University of East London","2024-07-31","","","107,902","","","","114,126","222,028","0","1,207","8,589","231,824","5,324"
"10032282","The Queen's Foundation for Ecumenical Theological Education","2023-08-31","","","914","","","","18","932","0","246","0","1,178","0"
"10007823","Edge Hill University","2024-07-31","","","99,691","","","","4,993","104,684","0","518","0","105,202","0"
"10007772","Edinburgh Napier University","2024-07-31","18,359","4,568","22,927","259","23,186","45,647","","68,833","0","2,291","0","71,124",""
"10007790","The University of Edinburgh","2024-07-31","27,000","81,900","108,900","25,400","134,300","363,255","","497,555","23,300","6,300","0","527,155",""
"10032295","Emmanuel Theological College","2023-08-31","","","480","","","","0","480","0","458","0","938","0"
"10082026","EM Normandie UK Ltd","2024-07-31","","","0","","","","0","0","0","0","0","0","0"
