﻿Title:,"Table 6 - Tuition fees and education contracts analysed by HE provider, domicile, mode, level, source"
Subtitle:,"Academic years 2016/17 to 2024/25"
Reference ID:,DT031 Table 6
Data source:,HESA / OfS
Data source link:,https://www.hesa.ac.uk/data-and-analysis/finances/table-6
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/finances/table-6.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Source of fee,Total 
,Academic year,2023/24 
,Financial Year End,All 
Search:,


"","","(£000s)"
"UKPRN","HE Provider","Financial Year End","Total Home fees","Total Rest of UK fees","Total UK fees","Total EU fees","Total UK and EU fees","Total Non-EU fees","Total Non-UK fees","Total HE course fees","Total research training support grants","Non-credit bearing course fees","FE course fees","Total tuition fees and education contracts","Of which: Net fee income relating to contracted out activity "
"10005561","Royal Conservatoire of Scotland","2024-07-31","1,804","1,983","3,787","485","4,272","4,756","","9,028","0","3,233","0","12,261",""
"10007816","The Royal Central School of Speech and Drama","2024-07-31","","","6,809","","","","4,201","11,010","0","768","0","11,778","0"
"10005553","Royal Holloway and Bedford New College","2024-07-31","","","89,079","","","","47,306","136,385","3,952","115","0","140,452","0"
"10007837","Royal Northern College of Music","2024-07-31","","","5,113","","","","7,730","12,843","0","1,197","0","14,040","0"
"10007779","The Royal Veterinary College","2024-07-31","","","12,195","","","","31,699","43,894","699","1,229","0","45,822","835"
"10007803","The University of St. Andrews","2024-07-31","6,671","26,921","33,592","14,418","48,010","100,442","","148,452","3,370","6,851","0","158,673",""
"10007839","SAE Education Limited","2023-08-31","","","5,884","157","6,041","577","","6,618","0","40","0","6,658",""
"10008026","St Mary's University College","2024-07-31","4,324","0","4,324","0","4,324","0","","4,324","0","0","0","4,324",""
"10007843","St Mary's University, Twickenham","2024-07-31","","","33,778","","","","8,851","42,629","0","866","0","43,495","0"
"10007156","The University of Salford","2024-07-31","","","158,430","","","","58,509","216,939","1,081","2,997","0","221,017","0"
"10021256","William Booth College","2024-03-31","","","0","","","","0","0","0","0","0","0","0"
"10008362","London School of Science and Technology Limited","2024-06-30","","","386","","","","0","386","0","0","0","386","0"
"10007780","SOAS University of London","2024-07-31","","","36,328","","","","44,725","81,053","0","1,352","0","82,405","0"
"10005700","SRUC","2024-07-31","3,558","399","3,957","0","3,957","105","","4,062","0","0","9","4,071",""
"10005790","Sheffield Hallam University","2024-07-31","","","195,719","","","","56,266","251,985","261","102","1,591","253,939","3,941"
"10007157","The University of Sheffield","2024-07-31","","","155,920","","","","214,594","370,514","23,811","7,494","0","401,819","0"
"10023458","The Sherwood Psychotherapy Training Institute Limited","2023-08-31","","","969","","","","0","969","0","338","33","1,340","0"
"10007158","The University of Southampton","2024-07-31","","","125,355","","","","220,102","345,457","17,818","9,315","0","372,590","0"
"10006022","Southampton Solent University","2024-07-31","","","57,400","","","","18,441","75,841","0","5,604","1,394","82,839","0"
"10088214","S P Jain London School of Management Limited","2024-03-31","","","58","","","","236","294","0","0","0","294","0"
"10006093","Spurgeon's College","2024-07-31","","","509","","","","29","538","0","223","0","761","0"
"10006299","University of Staffordshire","2024-07-31","","","119,856","","","","12,208","132,064","0","1,162","0","133,226","0"
"10008098","Study Group","2023-12-31","","","0","","","","36,550","36,550","0","0","52,706","89,256","0"
"10004747","St Hild College","2023-08-31","","","602","","","","0","602","0","10","0","612","0"
"10007804","The University of Stirling","2024-07-31","15,308","8,580","23,888","3,451","27,339","40,368","","67,707","597","756","0","69,060",""
"10037449","University of St Mark and St John","2024-07-31","","","20,453","","","","0","20,453","0","0","0","20,453","0"
"10008010","Stranmillis University College","2024-07-31","4,866","31","4,897","19","4,916","63","","4,979","0","0","0","4,979",""
"10022944","Stratford College London (SCL)","2023-08-31","","","0","","","","0","0","0","134","45","179","0"
"10007805","The University of Strathclyde","2024-07-31","31,037","9,152","40,189","3,607","43,796","68,633","","112,429","6,739","5,212","0","124,380",""
"10014001","University of Suffolk","2024-07-31","","","110,258","","","","2,095","112,353","72","407","0","112,832","24,455"
"10007159","The University of Sunderland","2024-07-31","","","83,973","","","","108,287","192,260","104","1,763","342","194,469","7,455"
"10007160","The University of Surrey","2024-07-31","","","93,363","","","","62,705","156,068","5,544","1,626","0","163,238","0"
"10007806","The University of Sussex","2024-07-31","","","109,622","","","","112,383","222,005","64","2,528","0","224,597","0"
"10007855","Swansea University","2024-07-31","60,653","76,569","137,222","4,312","141,534","71,692","","213,226","0","80","0","213,306",""
"10013122","Sysco Business Skills Academy Limited","2024-07-31","","","0","","","","0","0","0","0","0","0","0"
"10020381","Tavistock and Portman NHS Foundation Trust","2024-03-31","","","0","","","","0","0","0","2,163","0","2,163","0"
"10083403","The Engineering and Design Institute London","2024-07-31","","","977","","","","116","1,093","0","75","0","1,168","0"
"10007161","Teesside University","2024-07-31","","","90,801","","","","81,795","172,596","195","1,629","0","174,420","0"
"10082743","ThinkSpace Education Limited","2024-07-31","","","313","","","","783","1,096","0","555","0","1,651","0"
"10008017","Trinity Laban Conservatoire of Music and Dance","2024-07-31","","","8,752","","","","5,102","13,854","0","2,098","0","15,952","0"
"10007858","University of Wales Trinity Saint David","2024-07-31","33,104","55,441","88,545","1,519","90,064","9,423","","99,487","0","0","1,249","100,736",""
"10067648","University Academy 92 Limited","2024-07-31","","","0","","","","0","0","0","0","0","0","0"
"10068157","University Centre Peterborough","2024-07-31","","","3,779","","","","0","3,779","0","0","0","3,779","254"
"10007114","University of the Highlands and Islands","2024-07-31","9,598","1,135","10,733","141","10,874","1,277","","12,151","20","949","0","13,120",""
"10007807","Ulster University","2024-07-31","90,573","2,466","93,039","6,653","99,692","31,651","","131,343","6","428","0","131,777",""
"10039956","The University of Law","2024-05-31","","","128,230","","","","29,178","157,408","0","3,221","0","160,629","0"
"10007784","University College London","2024-07-31","","","181,709","","","","692,260","873,969","43,613","37,790","0","955,372","0"
"10007793","University of South Wales","2024-07-31","61,489","33,102","94,591","2,441","97,032","61,315","","158,347","0","3,514","52","161,913",""
"10008574","The University of Wales (central functions)","2024-07-31","0","0","0","0","0","0","","0","0","0","0","0",""
"10089591","Walbrook Institute London Limited","2023-12-31","","","1,836","","","","33","1,869","0","0","0","1,869","0"
"10029843","Waltham International College Limited","2024-07-31","","","0","","","","0","0","0","0","0","0","0"
"10007163","The University of Warwick","2024-07-31","","","157,237","","","","280,347","437,584","13,013","4,700","4,314","459,611","0"
"10007361","Waverley Abbey College","2023-08-31","","","1,136","","","","5","1,141","0","232","0","1,373","0"
"10007164","University of the West of England, Bristol","2024-07-31","","","192,765","","","","92,126","284,891","290","2,656","0","287,837","0"
"10007800","The University of the West of Scotland","2024-07-31","20,169","6,712","26,881","0","26,881","57,499","","84,380","0","567","0","84,947",""
"10032288","West Dean College","2023-09-30","","","1,700","","","","1,011","2,711","0","5,126","0","7,837","0"
"10006566","The University of West London","2024-07-31","","","109,367","","","","51,180","160,547","0","209","95","160,851","0"
"10007165","The University of Westminster","2024-07-31","","","112,612","","","","97,561","210,173","78","1,705","0","211,956","0"
"10003614","The University of Winchester","2024-07-31","","","53,346","","","","7,881","61,227","(15)","582","0","61,794","0"
"10007166","The University of Wolverhampton","2024-07-31","","","110,473","","","","32,310","142,783","0","766","0","143,549","0"
"10007139","University of Worcester","2024-07-31","","","56,489","","","","13,511","70,000","0","1,932","0","71,932","4,274"
"10007833","Wrexham University","2024-07-31","18,004","8,910","26,914","9","26,923","20,822","","47,745","0","0","0","47,745",""
"10007713","York St John University","2024-07-31","","","56,604","","","","33,709","90,313","0","55","0","90,368","592"
"10007167","The University of York","2024-07-31","","","149,668","","","","100,249","249,917","6,093","4,076","0","260,086","0"
"","Total","","760,865","611,003","14,389,882","100,940","1,478,692","1,696,292","10,862,766","27,049,880","459,624","967,560","192,899","28,669,963","142,501"
