word,pearson_r,spearman_r,n_years
grey,0.2106429879646482,0.22884060705998424,220
red,0.07200721095001877,0.06665334187698645,220
blue,0.03668379171217121,0.06619733269652815,220
white,-0.027431148924076283,-0.05464510012491819,220
green,-0.035319766339285304,-0.053885084824154376,220
black,-0.12188115751111692,-0.18247967371339163,220
bright,-0.18018627831275322,-0.1760955451869756,220
dark,-0.1887173264155902,-0.16241526977322693,220
golden,-0.26748810477368085,-0.24920901712045446,220
