word,year,freq_per_million,freq_smooth_5yr,freq_smooth_10yr,pct_change_yoy,in_recession,total_freq,pct_of_colour_total
black,1800,113.17959433654323,NA,NA,0,FALSE,583.6577115587716,19.391433042883147
blue,1800,41.09408109798096,NA,NA,0,FALSE,583.6577115587716,7.040784398827047
bright,1800,46.97625990957022,NA,NA,0,FALSE,583.6577115587716,8.048597487748593
dark,1800,58.84954589419067,NA,NA,0,FALSE,583.6577115587716,10.082886720886716
golden,1800,29.76544237753842,NA,NA,0,FALSE,583.6577115587716,5.099811377124447
green,1800,61.39122706372291,NA,NA,0,FALSE,583.6577115587716,10.518361335407645
grey,1800,24.829455014696578,NA,NA,0,FALSE,583.6577115587716,4.254112388643796
red,1800,79.71483137225732,NA,NA,0,FALSE,583.6577115587716,13.657804873230123
white,1800,127.85727449227124,NA,NA,0,FALSE,583.6577115587716,21.906208375248482
black,1801,81.01696585072204,NA,NA,0,FALSE,488.1212366854015,16.597713797676498
blue,1801,33.06956568849273,NA,NA,0,FALSE,488.1212366854015,6.7748672262350995
bright,1801,35.53644273779355,NA,NA,0,FALSE,488.1212366854015,7.280249263298721
dark,1801,52.4432907695882,NA,NA,0,FALSE,488.1212366854015,10.74390680596189
golden,1801,23.49874921492301,NA,NA,0,FALSE,488.1212366854015,4.814121461809735
green,1801,59.01844269828871,NA,NA,0,FALSE,488.1212366854015,12.090939353316156
grey,1801,20.692106318165315,NA,NA,0,FALSE,488.1212366854015,4.239132568514236
red,1801,73.77664587693289,NA,NA,0,FALSE,488.1212366854015,15.114410177667109
white,1801,109.06902753049508,NA,NA,0,FALSE,488.1212366854015,22.344659345520554
black,1802,103.03470480721444,80.9426186606288,NA,0,FALSE,551.4332437996927,18.684891773525653
blue,1802,41.21689198655076,32.25443542760331,NA,0,FALSE,551.4332437996927,7.474502571252802
bright,1802,33.79494228283875,34.04285671422258,NA,0,FALSE,551.4332437996927,6.128564547536548
dark,1802,51.893464842578396,48.28369419556111,NA,0,FALSE,551.4332437996927,9.410652227820457
golden,1802,21.661559003405273,22.548319248016924,NA,0,FALSE,551.4332437996927,3.9282287107220184
green,1802,60.594193200813606,51.75006081117317,NA,0,FALSE,551.4332437996927,10.988491151401156
grey,1802,22.917774458619533,19.066422873947886,NA,0,FALSE,551.4332437996927,4.156037873361218
red,1802,82.76977314380929,67.52355839125812,NA,0,FALSE,551.4332437996927,15.009935304857189
white,1802,133.54994007386267,104.43126229802147,NA,0,FALSE,551.4332437996927,24.218695839522958
black,1803,52.92585410643369,71.78332161856815,NA,0,FALSE,334.82086610092665,15.807214981183401
