Provider,UKPRN,Students_1516,Students_2425,Change_abs,Change_pct,FTE_1516,FTE_2425,FTE_change_pct,Growth_gap_x
University of London (Institutes and activities),10007797,195,3280,3085,1582.1,60,80,33.3,12.6
Bath Spa University,10000571,7630,28970,21340,279.7,350,500,42.9,2.7
University for the Creative Arts,10006427,4805,15110,10305,214.5,285,350,22.8,2.6
Canterbury Christ Church University,10001143,16055,38385,22330,139.1,645,625,-3.1,2.5
Leeds Trinity University,10003863,3715,13715,10000,269.2,140,240,71.4,2.2
Buckinghamshire New University,10000975,8580,18490,9910,115.5,360,385,6.9,2
