Provider,UKPRN,Students_1516,Students_2425,Change_pct,FTE_1516,FTE_2425,FTE_change_pct,Growth_gap_x,Flag
The University of Law*,10039956,685,19730,2780.3,NA,605,NA,NA,
Arden University*,10005451,1835,32740,1684.2,NA,340,NA,NA,
University of London (Institutes and activities),10007797,195,3280,1582.1,60,80,33.3,12.6,⚠ CHECK
Regent College London*,10008455,895,9140,921.2,NA,295,NA,NA,
Northeastern University London*,10048199,140,1060,657.1,NA,160,NA,NA,
The Metanoia Institute*,10004320,100,545,445,NA,45,NA,NA,
NA,10031982,5940,31490,430.1,NA,NA,NA,NA,
Ravensbourne University London,10005389,2190,8685,296.6,75,165,120,1.8,
Bath Spa University,10000571,7630,28970,279.7,350,500,42.9,2.7,⚠ CHECK
London School of Management Education*,10022285,255,960,276.5,NA,20,NA,NA,
Leeds Trinity University,10003863,3715,13715,269.2,140,240,71.4,2.2,⚠ CHECK
Escape Studios*,10042570,235,860,266,NA,25,NA,NA,
Kaplan Open Learning (Essex) Limited*,10021682,515,1805,250.5,NA,35,NA,NA,
University of the Built Environment*,10008173,1100,3580,225.5,NA,50,NA,NA,
Institute of Contemporary Music Performance*,10035638,700,2250,221.4,NA,45,NA,NA,
University for the Creative Arts,10006427,4805,15110,214.5,285,350,22.8,2.6,⚠ CHECK
NA,10039082,105,305,190.5,NA,NA,NA,NA,
University of Suffolk,10014001,5030,13590,170.2,165,240,45.5,1.9,
NA,10009527,510,1355,165.7,NA,NA,NA,NA,
NA,10045476,175,435,148.6,NA,NA,NA,NA,
The National Film and Television School,10004511,240,585,143.8,15,75,400,0.5,
Canterbury Christ Church University,10001143,16055,38385,139.1,645,625,-3.1,2.5,⚠ CHECK
Nelson College London Ltd,10030129,830,1875,125.9,NA,15,NA,NA,
Buckinghamshire New University,10000975,8580,18490,115.5,360,385,6.9,2,⚠ CHECK
NA,10022047,130,270,107.7,NA,NA,NA,NA,
University of St Mark and St John,10037449,2365,4850,105.1,95,110,15.8,1.8,
York St John University,10007713,5980,12150,103.2,285,485,70.2,1.2,
University of Greater Manchester,10006841,6320,12570,98.9,310,470,51.6,1.3,
The University of East London,10007144,13630,26755,96.3,660,690,4.5,1.9,
Birmingham Newman University,10007832,2810,5500,95.7,155,155,0,2,
NA,10008071,470,880,87.2,NA,NA,NA,NA,
Waverley Abbey College*,10007361,140,260,85.7,NA,10,NA,NA,
NA,10004450,295,535,81.4,NA,NA,NA,NA,
Falmouth University,10008640,4655,8185,75.8,230,325,41.3,1.2,
ICON College of Technology and Management*,10003239,1260,2160,71.4,NA,40,NA,NA,
The University of West London,10006566,10410,17690,69.9,495,665,34.3,1.3,
Leeds Arts University,10003854,1320,2175,64.8,110,130,18.2,1.4,
Anglia Ruskin University,10000291,20935,34370,64.2,750,1235,64.7,1,
Royal College of Art,10007777,1610,2555,58.7,105,230,119,0.7,
NA,10030391,900,1425,58.3,NA,NA,NA,NA,
Aston University,10007759,12475,19565,56.8,610,995,63.1,1,
The University of Sunderland,10007159,12995,20280,56.1,625,1035,65.6,0.9,
University of Wales Trinity Saint David,10007858,9930,15415,55.2,480,625,30.2,1.2,
NA,10005544,130,200,53.8,NA,NA,NA,NA,
The University of Exeter,10007792,21670,33105,52.8,1725,3020,75.1,0.9,
The Liverpool Institute for Performing Arts,10003945,720,1095,52.1,45,50,11.1,1.4,
NA,10008397,215,320,48.8,NA,NA,NA,NA,
The University of Bristol,10007786,21905,32435,48.1,2780,3495,25.7,1.2,
BIMM University*,10037544,4365,6435,47.4,NA,145,NA,NA,
Oxford Brookes University,10004930,17865,26095,46.1,880,990,12.5,1.3,
The University of Lincoln,10007151,13475,19560,45.2,775,1040,34.2,1.1,
London School of Theology*,10004075,180,260,44.4,NA,15,NA,NA,
The University of Buckingham,10007787,2400,3455,44,120,NA,NA,NA,
Queen Mary University of London,10007775,17140,24640,43.8,1850,2710,46.5,1,
"City St George's, University of London",10001478,18995,27230,43.4,865,1490,72.3,0.8,
The University of Reading,10007802,14980,21370,42.7,1280,1335,4.3,1.4,
The University of Greenwich,10007146,20645,29410,42.5,875,1145,30.9,1.1,
The University of Glasgow,10007794,27220,38710,42.2,2710,3995,47.4,1,
The University of Lancaster,10007768,13115,18620,42,1240,1555,25.4,1.1,
King's College London,10003645,28900,40870,41.4,3650,4695,28.6,1.1,
NA,10000381,245,340,38.8,NA,NA,NA,NA,
Norwich University of the Arts,10004775,1995,2765,38.6,115,200,73.9,0.8,
University College London,10007784,37135,51315,38.2,6285,7710,22.7,1.1,
Glasgow School of Art,10002681,2060,2845,38.1,145,170,17.2,1.2,
University of Hertfordshire,10007147,24655,33575,36.2,1120,1580,41.1,1,
Mont Rose College of Management and Sciences Limited*,10023777,790,1075,36.1,NA,40,NA,NA,
Keele University,10007767,10120,13680,35.2,685,800,16.8,1.2,
The Institute of Cancer Research,10003324,275,370,34.5,625,660,5.6,1.3,
University College Birmingham,10000712,5025,6760,34.5,265,330,24.5,1.1,
Arts University Plymouth,10005127,1200,1610,34.2,95,65,-31.6,2,
Glasgow Caledonian University,10007762,16580,22205,33.9,725,690,-4.8,1.4,
Trinity Laban Conservatoire of Music and Dance,10008017,985,1315,33.5,95,95,0,1.3,
Birmingham City University,10007140,24065,31875,32.5,1055,1590,50.7,0.9,
