﻿Title:,"Table 1 - HE student enrolments by HE provider"
Subtitle:,"Academic years 2014/15 to 2024/25"
Reference ID:,DT051 Table 1
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/students/table-1
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/students/table-1.zip
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2026
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Entrant marker,All 
,Level of study,All 
,Mode of study,All 
,Academic year,2024/25 
Search:,


"UKPRN","HE provider","Female","Male","Unknown","Total"
"10008640","Falmouth University","4,515","3,360","310","8,185"
"10045476","Met Film School Limited","220","210","0","435"
"10004511","The National Film and Television School","330","250","0","585"
"10022087","Futureworks","125","285","5","415"
"10042500","Global Banking School Limited","730","1,120","0","1,850"
"10007762","Glasgow Caledonian University","12,115","10,030","55","22,205"
"10002681","Glasgow School of Art","1,980","765","100","2,845"
"10007794","The University of Glasgow","23,060","15,385","260","38,710"
"10007145","University of Gloucestershire","5,100","2,985","45","8,135"
"10002718","Goldsmiths College","5,410","2,340","160","7,910"
"10030408","Gower College Swansea","15","15","0","30"
"10006841","University of Greater Manchester","7,435","5,090","50","12,570"
"10007146","The University of Greenwich","16,540","12,790","85","29,410"
"10007825","Guildhall School of Music and Drama","525","520","5","1,050"
"10040812","Harper Adams University","3,120","2,160","5","5,285"
"10080811","Hartpury University","1,705","845","0","2,550"
"10000163","Health Sciences University","1,095","1,015","0","2,110"
"10007764","Heriot-Watt University","3,785","5,895","165","9,845"
"10007147","University of Hertfordshire","14,305","19,055","215","33,575"
"10020118","Higher Rhythm Limited","0","5","0","5"
"10007148","The University of Huddersfield","9,695","6,535","125","16,360"
"10007149","The University of Hull","7,805","6,765","145","14,715"
"10003239","ICON College of Technology and Management","1,045","1,115","0","2,160"
"10003270","Imperial College of Science, Technology and Medicine","9,725","12,765","35","22,525"
"10003284","Inchbald School of Design Limited","20","5","0","25"
"10057622","The School of Information Risk Management","175","265","0","440"
"10013220","Institute of Art - London Limited","290","20","5","315"
"10067388","The Institute of Ismaili Studies","45","30","0","75"
"10035638","Institute of Contemporary Music Performance","885","1,335","30","2,250"
"10027603","International College of Musical Theatre","40","5","0","50"
"10082728","INTO University Partnerships Limited","40","65","0","110"
"10029682","The Islamic College","50","30","0","75"
"10067601","JSA Education Group Ltd.","85","10","0","95"
"10082570","Kaplan International Colleges U.K. Limited","250","630","0","885"
"10021682","Kaplan Open Learning (Essex) Limited","1,205","590","5","1,805"
"10007767","Keele University","8,775","4,850","60","13,680"
"10007150","The University of Kent","8,795","7,210","65","16,070"
"10083476","The King's Foundation","20","5","0","25"
"10003645","King's College London","26,190","14,490","185","40,870"
"10003678","Kingston University","11,420","7,380","15","18,815"
"10003746","Laine Theatre Arts","55","10","0","65"
"10003758","LAMDA Limited","290","185","15","490"
"10007141","University of Lancashire","14,415","9,330","120","23,865"
"10007768","The University of Lancaster","9,015","9,400","210","18,620"
"10003854","Leeds Arts University","1,510","580","85","2,175"
"10003861","Leeds Beckett University","11,605","10,655","30","22,290"
"10003798","Le Cordon Bleu Limited","245","100","0","340"
"10034449","Leeds Conservatoire","565","735","0","1,300"
"10007795","The University of Leeds","21,060","13,360","160","34,580"
"10003863","Leeds Trinity University","7,685","6,025","5","13,715"
"10082828","College of Legal Practice Limited","540","290","5","835"
"10007796","The University of Leicester","10,095","8,890","5","18,990"
"10007151","The University of Lincoln","10,895","8,500","165","19,560"
"10007811","Lincoln Bishop University","1,575","785","0","2,360"
"10036456","Academy of Live Technology Ltd","65","115","0","185"
"10003956","Liverpool Hope University","3,240","2,070","25","5,330"
"10003957","Liverpool John Moores University","14,990","10,655","5","25,650"
"10031239","LMA","1,045","435","5","1,490"
"10003945","The Liverpool Institute for Performing Arts","600","475","20","1,095"
"10006842","The University of Liverpool","17,505","13,135","410","31,050"
"10003958","Liverpool School of Tropical Medicine","140","70","0","210"
"10007820","Grŵp Llandrillo Menai","450","320","55","825"
"10007162","University of the Arts, London","17,530","5,315","105","22,950"
"10013109","London Bridge Business Academy","90","70","0","160"
"10007769","London Business School","900","1,355","20","2,275"
"10030391","London Churchill College Ltd","645","780","0","1,425"
"10007797","University of London (Institutes and activities)","1,545","1,730","5","3,280"
"10039082","City and Guilds of London Art School","210","90","5","305"
"10004036","London Film School Limited","140","160","5","300"
"10015506","The London College","255","470","0","725"
"10004048","London Metropolitan University","8,195","5,410","60","13,665"
"10032594","London School of Academics Ltd","45","75","0","120"
"10004078","London South Bank University","8,595","7,140","25","15,760"
"10004063","London School of Economics and Political Science","7,340","5,550","60","12,950"
"10007771","London School of Hygiene and Tropical Medicine","660","280","5","945"
"10022285","London School of Management Education","500","460","0","960"
"10004075","London School of Theology","135","125","0","260"
"10004079","London Studio Centre","290","15","0","305"
"10029147","London School of Jewish Studies","20","10","0","30"
"10062810","The London School of Architecture","65","60","0","125"
"10065543","London Brookes College","15","15","0","30"
"10004035","The Film Education Training Trust Limited","65","80","5","150"
"10067623","The London Interdisciplinary School Ltd","75","60","0","135"
"10004113","Loughborough University","7,785","11,160","10","18,955"
"10009612","Luther King House Educational Trust","40","35","0","75"
"10042679","International Business College Manchester Limited","10","40","0","50"
"10004180","The Manchester Metropolitan University","22,310","16,585","500","39,395"
"10007798","The University of Manchester","26,320","19,885","100","46,305"
"10009527","Istituto Marangoni Limited","1,145","180","25","1,355"
"10023452","The Markfield Institute of Higher Education","60","55","0","115"
"10023453","Matrix College of Counselling and Psychotherapy Ltd","85","20","0","110"
"10020416","Missio Dei","55","40","0","100"
"10030776","St Mellitus College","195","130","0","325"
"10004320","The Metanoia Institute","410","125","10","545"
