﻿Title:,"Table 6 - HE Staff FTE by HE provider and activity standard occupational classification"
Subtitle:,"Academic years 2014/15 to 2024/25"
Reference ID:,DT025 Table 6
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-6
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-6.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2026
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Academic year,2017/18 
Search:,


"UKPRN","HE provider","Managers, directors and senior officials","Professional occupations","Associate professional occupations","Clerical and manual occupations","Total academic staff (excluding atypical)"
"10007783","The University of Aberdeen","0","1,170","5","0","1,170"
"10007849","Abertay University","0","195","0","0","200"
"10007856","Aberystwyth University","0","540","5","0","550"
"10000291","Anglia Ruskin University","10","775","20","0","810"
"10007759","Aston University","0","725","0","0","725"
"10007857","Bangor University","5","720","20","0","745"
"10000571","Bath Spa University","5","375","0","0","380"
"10007850","The University of Bath","0","1,210","0","0","1,210"
"10007152","University of Bedfordshire","0","520","5","0","525"
"10005343","Queen's University Belfast","0","1,685","25","0","1,710"
"10007760","Birkbeck College","0","565","0","0","565"
"10007140","Birmingham City University","5","1,145","25","0","1,175"
"10006840","The University of Birmingham","15","3,205","30","0","3,250"
"10000712","University College Birmingham","5","260","0","0","260"
"10007832","Birmingham Newman University","0","150","5","0","155"
"10000385","The Arts University Bournemouth","0","225","0","0","225"
"10000824","Bournemouth University","0","825","0","0","825"
"10007785","The University of Bradford","0","515","0","0","515"
"10000886","The University of Brighton","0","1,065","0","0","1,065"
"10000936","The University College of Osteopathy","0","35","0","0","35"
"10007786","The University of Bristol","0","2,865","0","0","2,865"
"10000961","Brunel University London","5","790","0","0","795"
"10000975","Buckinghamshire New University","0","300","15","0","320"
"10007787","The University of Buckingham","5","125","0","0","130"
"10007788","The University of Cambridge","10","5,735","0","0","5,745"
"10003324","The Institute of Cancer Research","0","635","5","0","640"
"10001143","Canterbury Christ Church University","5","680","0","0","685"
"10007814","Cardiff University","55","2,730","10","0","2,795"
"10007854","Cardiff Metropolitan University","0","495","0","0","495"
"10007848","University of Chester","0","570","0","0","575"
"10007137","The University of Chichester","0","330","0","0","330"
"10001478","City St George's, University of London","0","915","0","0","915"
"10001653","Conservatoire for Dance and Drama","0","140","0","0","140"
"10007761","Courtauld Institute of Art","0","40","0","0","40"
"10001726","Coventry University","5","2,020","10","0","2,040"
"10007822","Cranfield University","0","650","10","0","660"
"10006427","University for the Creative Arts","0","225","65","0","290"
"10007842","University of Cumbria","0","340","0","0","340"
"10001883","De Montfort University","0","1,065","0","0","1,070"
"10007851","University of Derby","0","935","45","0","980"
"10007852","The University of Dundee","0","1,290","5","0","1,295"
"10007143","University of Durham","0","1,525","0","0","1,525"
"10007789","The University of East Anglia","0","1,470","0","0","1,470"
"10007144","The University of East London","0","590","0","0","590"
"10007823","Edge Hill University","0","815","0","0","815"
"10007772","Edinburgh Napier University","5","620","5","0","635"
"10007790","The University of Edinburgh","5","4,410","50","0","4,465"
"10007791","The University of Essex","0","910","5","0","915"
"10007792","The University of Exeter","0","2,040","5","0","2,045"
"10008640","Falmouth University","0","235","20","0","255"
"10004511","The National Film and Television School","0","25","0","0","25"
"10007762","Glasgow Caledonian University","0","705","0","0","705"
"10002681","Glasgow School of Art","0","105","65","0","170"
"10007794","The University of Glasgow","0","2,930","65","0","3,000"
"10007145","University of Gloucestershire","0","395","5","0","400"
"10002718","Goldsmiths College","0","620","0","0","620"
"10006841","University of Greater Manchester","0","290","30","0","315"
"10007146","The University of Greenwich","5","860","5","0","870"
"10007825","Guildhall School of Music and Drama","10","190","10","0","210"
"10040812","Harper Adams University","0","160","0","0","160"
"10000163","Health Sciences University","0","35","0","0","40"
"10007764","Heriot-Watt University","0","760","15","0","775"
"10007147","University of Hertfordshire","0","1,245","0","0","1,245"
"10007765","Heythrop College","0","25","0","0","25"
"10007148","The University of Huddersfield","0","820","0","0","820"
"10007149","The University of Hull","5","875","25","0","900"
"10003270","Imperial College of Science, Technology and Medicine","5","3,845","5","0","3,855"
"10007767","Keele University","0","725","0","0","725"
"10007150","The University of Kent","0","1,105","0","0","1,110"
"10003645","King's College London","0","3,855","20","0","3,875"
"10003678","Kingston University","5","790","30","0","830"
"10007141","University of Lancashire","0","1,265","65","0","1,330"
"10007768","The University of Lancaster","5","1,365","0","0","1,375"
"10003854","Leeds Arts University","0","130","5","0","135"
"10003861","Leeds Beckett University","5","985","0","0","985"
"10007795","The University of Leeds","5","3,190","10","0","3,205"
"10003863","Leeds Trinity University","0","145","0","0","145"
"10007796","The University of Leicester","0","1,475","5","0","1,480"
"10007151","The University of Lincoln","0","935","0","0","935"
"10007811","Lincoln Bishop University","0","95","0","0","95"
"10003956","Liverpool Hope University","0","290","0","0","290"
"10003957","Liverpool John Moores University","0","1,235","50","0","1,285"
"10003945","The Liverpool Institute for Performing Arts","0","50","0","0","50"
"10006842","The University of Liverpool","0","2,535","5","0","2,545"
"10003958","Liverpool School of Tropical Medicine","0","205","0","0","205"
"10007162","University of the Arts, London","0","1,255","0","0","1,255"
"10007769","London Business School","5","100","5","0","110"
"10007797","University of London (Institutes and activities)","0","70","0","0","70"
"10004048","London Metropolitan University","0","370","0","0","370"
"10004078","London South Bank University","5","720","45","0","775"
"10004063","London School of Economics and Political Science","0","1,185","0","0","1,185"
"10007771","London School of Hygiene and Tropical Medicine","0","675","0","0","675"
"10004113","Loughborough University","0","1,335","45","0","1,385"
"10004180","The Manchester Metropolitan University","0","1,870","55","0","1,925"
"10007798","The University of Manchester","5","4,605","0","0","4,610"
"10004351","Middlesex University","10","915","5","0","930"
"10007799","Newcastle University","20","2,605","40","0","2,665"
"10007138","The University of Northampton","10","585","0","0","595"
"10001282","University of Northumbria at Newcastle","0","1,350","0","0","1,350"
"10004775","Norwich University of the Arts","0","145","0","0","145"
"10007154","University of Nottingham","0","3,170","10","0","3,180"
"10004797","The Nottingham Trent University","5","1,760","0","0","1,765"
"10007773","The Open University","5","2,060","0","0","2,065"
"10004930","Oxford Brookes University","5","915","25","0","940"
"10007774","The University of Oxford","0","6,255","15","0","6,270"
"10005127","Arts University Plymouth","0","95","0","0","95"
"10007801","University of Plymouth","15","1,110","35","0","1,160"
"10007155","The University of Portsmouth","0","1,365","10","0","1,375"
"10005337","Queen Margaret University, Edinburgh","0","215","0","0","215"
"10007775","Queen Mary University of London","0","2,165","25","0","2,185"
"10005389","Ravensbourne University London","0","80","0","0","85"
"10007802","The University of Reading","15","1,330","0","0","1,350"
"10005500","Robert Gordon University","0","510","0","0","515"
"10007776","Roehampton University","0","500","15","0","515"
"10005523","Rose Bruford College of Theatre and Performance","0","35","0","0","40"
"10007835","Royal Academy of Music","0","90","0","0","90"
"10005545","Royal Agricultural University","0","50","0","0","55"
"10007777","Royal College of Art","0","110","0","0","110"
"10007778","Royal College of Music","0","85","0","0","85"
"10005561","Royal Conservatoire of Scotland","0","110","0","0","110"
"10007816","The Royal Central School of Speech and Drama","0","60","0","0","65"
"10005553","Royal Holloway and Bedford New College","0","780","0","0","780"
"10007837","Royal Northern College of Music","0","75","0","0","75"
"10007779","The Royal Veterinary College","0","275","5","0","280"
"10007803","The University of St. Andrews","0","1,085","0","0","1,085"
"10007782","St George's, University of London","0","365","5","0","375"
"10008026","St Mary's University College","0","40","0","0","40"
"10007843","St Mary's University, Twickenham","0","290","0","0","290"
"10007156","The University of Salford","5","935","0","0","940"
"10007780","SOAS University of London","5","465","0","0","465"
"10005700","SRUC","15","235","10","0","265"
"10005790","Sheffield Hallam University","0","1,630","0","0","1,630"
"10007157","The University of Sheffield","0","3,060","0","0","3,060"
"10007158","The University of Southampton","10","2,585","5","0","2,600"
"10006022","Southampton Solent University","0","585","5","0","590"
"10006299","University of Staffordshire","0","550","25","0","575"
"10007804","The University of Stirling","5","680","5","0","690"
"10037449","University of St Mark and St John","0","70","0","0","75"
