﻿Title:,"Table 1 - Consolidated statement of comprehensive income and expenditure"
Subtitle:,"Academic years 2015/16 to 2024/25"
Reference ID:,DT031 Table 1
Data source:,HESA / OfS
Data source link:,https://www.hesa.ac.uk/data-and-analysis/finances/table-1
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/finances/table-1.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2026
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Academic year,2018/19 
,Financial Year End,All 
Search:,


"","","Income (£000s)","Expenditure (£000s)"
"UKPRN","HE Provider","Financial Year End","Tuition fees and education contracts","Funding body grants","Research grants and contracts","Other income","Investment income","Donations and endowments","Total income","Staff costs","Restructuring costs","Other operating expenses","Depreciation and amortisation","Interest and other finance costs","Total expenditure"
"10000975","Buckinghamshire New University","2019-07-31","68,487","4,989","589","10,265","210","0","84,540","30,766","277","48,314","4,567","2,377","86,301"
"10008173","University of the Built Environment","2019-07-31","12,527","0","38","1,467","512","42","14,586","11,656","52","3,985","381","6","16,080"
"10010308","Cambridge Arts and Sciences Limited","2018-08-31","15,629","0","0","10,101","984","0","26,714","7,496","0","16,159","1,304","0","24,959"
"10007788","The University of Cambridge","2019-07-31","320,150","181,860","592,388","946,042","40,225","111,388","2,192,053","1,134,960","0","952,677","128,563","91,304","2,307,504"
"10032072","The Cambridge Theological Federation","2018-08-31","483","0","0","476","1","0","960","231","0","649","20","0","900"
"10003324","The Institute of Cancer Research","2019-07-31","2,629","45,212","67,362","38,028","2,432","11,735","167,398","92,470","0","43,674","6,280","918","143,342"
"10001143","Canterbury Christ Church University","2019-07-31","96,318","9,214","1,554","18,792","200","0","126,078","73,205","513","46,962","7,785","1,849","130,314"
"10007814","Cardiff University","2019-07-31","279,521","57,985","116,048","76,117","6,259","2,570","538,500","405,221","6,537","180,177","40,547","12,351","644,833"
"10007854","Cardiff Metropolitan University","2019-07-31","81,024","3,580","2,631","19,383","175","52","106,845","68,982","419","30,108","4,480","2,678","106,667"
"10024024","Central Film School","2018-08-31","1,191","0","0","0","0","0","1,191","514","0","989","45","30","1,578"
"10007848","University of Chester","2019-07-31","94,964","10,439","2,458","19,073","313","4","127,251","74,822","0","41,425","5,623","2,210","124,080"
"10007137","The University of Chichester","2019-07-31","39,901","3,702","1,307","10,576","6","30","55,522","33,642","858","17,216","5,267","2,345","59,328"
"10001386","Chicken Shed Theatre Company","2019-03-31","450","255","0","2,450","0","403","3,558","2,520","0","1,102","148","2","3,772"
"10001546","The College of Integrated Chinese Medicine","2018-11-30","1,115","0","0","82","1","0","1,198","420","0","661","17","11","1,109"
"10001419","Christie's Education Limited","2018-12-31","1,585","0","0","1","0","0","1,586","1,330","0","2,524","162","3","4,019"
"10026921","Christ the Redeemer College","2019-07-31","435","0","0","50","0","8","493","102","0","270","36","25","433"
"10001478","City St George's, University of London","2019-07-31","195,306","23,229","11,716","10,030","1,518","2,281","244,080","183,716","821","76,545","15,872","2,579","279,533"
"10007912","Cliff College","2018-08-31","620","0","0","1,064","16","364","2,064","874","0","1,136","163","0","2,173"
"10001653","Conservatoire for Dance and Drama","2019-07-31","14,660","8,313","0","0","10","0","22,983","472","0","22,332","6","0","22,810"
"10007761","Courtauld Institute of Art","2019-07-31","5,650","4,819","1,227","1,823","943","15,455","29,917","11,036","0","11,387","1,183","34","23,640"
"10034324","Court Theatre Training Company Ltd","2018-08-31","487","0","0","95","0","0","582","138","0","336","0","0","474"
"10001726","Coventry University","2019-07-31","310,099","26,993","11,553","51,494","3,143","179","403,461","205,224","0","145,222","24,666","13,793","388,905"
"10007822","Cranfield University","2019-07-31","76,700","21,100","42,217","36,359","140","6,693","183,209","110,966","0","81,268","12,791","2,092","207,117"
"10006427","University for the Creative Arts","2019-07-31","48,690","7,727","226","9,435","94","3","66,175","39,159","0","22,852","3,465","956","66,432"
"10007842","University of Cumbria","2019-07-31","46,620","5,661","375","6,826","79","14","59,575","39,757","565","19,185","3,792","1,089","64,388"
"10026767","Dartington Hall Trust (The)","2019-03-31","573","0","0","12,894","1,179","2,241","16,887","8,374","0","11,684","417","51","20,526"
"10015688","David Game College Ltd","2019-01-31","6,607","0","0","2,935","0","0","9,542","3,960","0","4,781","625","288","9,654"
"10001883","De Montfort University","2019-07-31","211,195","18,325","3,953","10,311","1,080","426","245,290","128,162","648","79,227","16,107","6,694","230,838"
"10007851","University of Derby","2019-07-31","138,739","22,211","1,774","28,807","917","5","192,453","106,949","1,874","63,977","17,966","3,466","194,232"
"10007852","The University of Dundee","2019-07-31","66,903","81,069","69,755","32,757","1,104","4,765","256,353","198,641","0","92,442","18,169","2,214","311,466"
"10007143","University of Durham","2019-07-31","209,299","39,432","51,415","67,270","4,802","8,804","381,022","280,215","0","127,030","28,564","16,311","452,120"
"10007789","The University of East Anglia","2019-07-31","158,351","34,703","55,904","54,340","1,188","3,148","307,634","231,576","0","102,135","21,859","5,091","360,661"
"10007144","The University of East London","2019-07-31","106,764","12,516","1,598","20,791","25","18","141,712","75,258","300","50,678","7,073","6,683","139,992"
"10032282","The Queen's Foundation for Ecumenical Theological Education","2018-08-31","1,953","0","0","223","80","78","2,334","1,352","0","787","232","0","2,371"
