﻿Title:,"Table 1 - Consolidated statement of comprehensive income and expenditure"
Subtitle:,"Academic years 2015/16 to 2024/25"
Reference ID:,DT031 Table 1
Data source:,HESA / OfS
Data source link:,https://www.hesa.ac.uk/data-and-analysis/finances/table-1
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/finances/table-1.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2026
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Academic year,2015/16 
,Financial Year End,All 
Search:,


"","","Income (£000s)","Expenditure (£000s)"
"UKPRN","HE Provider","Tuition fees and education contracts","Funding body grants","Research grants and contracts","Other income","Investment income","Donations and endowments","Total income","Staff costs","Restructuring costs","Other operating expenses","Depreciation and amortisation","Interest and other finance costs","Total expenditure"
"10007790","The University of Edinburgh","255,046","194,514","272,895","161,252","13,284","11,474","908,465","477,889","0","313,061","40,286","12,757","843,993"
"10007791","The University of Essex","109,510","20,099","26,077","40,620","424","788","197,518","103,160","0","72,509","10,105","6,446","192,220"
"10007792","The University of Exeter","203,549","46,261","61,853","56,620","1,233","1,600","371,116","184,270","0","124,949","37,869","11,091","358,179"
"10008640","Falmouth University","39,982","5,781","482","3,036","68","0","49,349","22,264","0","20,552","3,283","534","46,633"
"10004511","The National Film and Television School","4,311","4,127","0","2,395","0","1,720","12,553","4,523","0","5,819","765","146","11,253"
"10007762","Glasgow Caledonian University","33,601","67,699","5,914","7,988","274","809","116,285","80,547","1,350","32,084","5,890","1,263","121,134"
"10002681","Glasgow School of Art","12,020","14,669","4,069","46,082","475","0","77,315","20,687","0","15,703","3,458","1,432","41,280"
"10007794","The University of Glasgow","161,586","158,693","177,790","74,832","8,127","1,524","582,552","295,064","0","242,034","30,882","3,027","571,007"
"10007145","University of Gloucestershire","55,842","7,121","1,091","12,259","310","64","76,687","42,290","411","26,069","4,784","2,456","76,010"
"10002718","Goldsmiths College","74,016","10,771","5,227","13,555","271","129","103,969","63,068","0","31,559","7,128","2,644","104,399"
"10006841","University of Greater Manchester","38,941","4,821","604","2,786","167","10","47,329","27,205","97","15,792","2,541","814","46,449"
"10007146","The University of Greenwich","142,465","20,728","14,848","25,055","525","195","203,816","98,081","0","82,450","7,818","8,576","196,925"
"10007825","Guildhall School of Music and Drama","13,017","1,740","238","10,906","0","0","25,901","16,049","0","10,427","0","0","26,476"
"10040812","Harper Adams University","18,428","7,076","3,056","9,578","81","864","39,083","19,896","0","12,462","3,805","957","37,120"
"10007764","Heriot-Watt University","110,606","45,453","33,209","27,849","777","1,626","219,520","105,107","0","99,486","8,630","5,956","219,179"
"10007147","University of Hertfordshire","159,880","21,809","9,409","63,852","1,306","301","256,557","128,082","0","90,730","14,700","3,514","237,026"
"10007765","Heythrop College","2,603","482","24","1,675","16","5,842","10,642","3,694","400","2,937","4,706","3","11,740"
"10007148","The University of Huddersfield","124,283","18,288","8,448","9,057","2,522","1","162,599","86,971","0","43,231","6,830","1,766","138,798"
"10007149","The University of Hull","118,980","24,012","12,006","25,143","471","4,216","184,828","101,690","1,261","59,117","12,839","2,509","177,416"
"10003270","Imperial College of Science, Technology and Medicine","244,296","154,104","350,623","176,987","9,130","33,302","968,442","484,942","1,894","331,012","68,846","14,829","901,523"
"10007767","Keele University","71,335","17,722","17,067","40,281","2,092","79","148,576","81,799","0","51,587","7,759","3,059","144,204"
"10007150","The University of Kent","155,468","28,884","17,019","50,706","735","971","253,783","135,237","209","85,521","22,606","4,098","247,671"
"10003645","King's College London","262,255","125,015","193,182","130,967","6,694","20,173","738,286","402,867","0","259,273","34,746","18,000","714,886"
"10003678","Kingston University","150,273","24,391","3,984","29,023","970","710","209,351","109,792","1,310","74,760","13,465","9,292","208,619"
"10007141","University of Lancashire","147,744","25,619","6,416","28,929","919","0","209,627","115,543","4,507","68,510","7,174","2,942","198,676"
"10007768","The University of Lancaster","126,328","33,161","38,321","68,339","519","617","267,285","135,749","176","97,647","16,725","5,251","255,548"
"10003854","Leeds Arts University","11,785","3,653","0","201","86","0","15,725","8,013","0","4,212","1,003","93","13,321"
"10003861","Leeds Beckett University","167,108","16,086","2,701","35,449","738","36","222,118","116,574","1,715","67,224","17,625","8,798","211,936"
"10007795","The University of Leeds","290,267","85,104","128,326","124,035","3,651","5,288","636,671","348,691","0","221,613","44,801","8,877","623,982"
"10003863","Leeds Trinity University","25,214","1,523","53","4,128","48","1","30,967","17,276","0","8,794","2,234","543","28,847"
"10007796","The University of Leicester","151,399","40,561","51,768","50,663","677","1,184","296,252","173,548","0","98,651","15,458","7,080","294,737"
"10007151","The University of Lincoln","101,193","17,629","6,275","13,051","356","123","138,627","69,480","0","44,788","7,595","9,035","130,898"
"10007811","Lincoln Bishop University","16,712","1,040","9","2,620","55","0","20,436","11,298","0","5,891","1,237","196","18,622"
"10003956","Liverpool Hope University","40,728","4,001","196","6,266","132","0","51,323","27,078","0","14,521","3,700","1,518","46,817"
"10003957","Liverpool John Moores University","163,515","26,458","9,895","4,119","674","207","204,868","109,572","0","60,622","8,552","6,574","185,320"
"10003945","The Liverpool Institute for Performing Arts","7,794","1,194","0","1,018","19","53","10,078","5,874","0","2,654","552","63","9,143"
"10006842","The University of Liverpool","240,663","70,290","93,681","80,101","7,817","2,602","495,154","250,576","0","169,189","39,365","12,498","471,628"
