﻿Title:,"Table 1 - Buildings and spaces"
Subtitle:,"Academic years 2015/16 to 2023/24"
Reference ID:,DT042 Table 1
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/estates/table-1
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/estates/data.zip
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,Choose a value... 
,Region of HE provider,Choose a value... 
,Academic year,2023/24 
Search:,


"UKPRN","HE provider","Total number of sites","Total number of buildings","Total site area (hectares)","Total grounds area (hectares)","Total playing fields area (hectares)","Total gross internal area (m2)","Total number of car parking spaces","Total number of cycle spaces"
"10003863","Leeds Trinity University","1","35","18.000","7.000","6.600","43,349.250","483","44"
"10007796","The University of Leicester","5","221","87.590","38.220","26.600","378,259.820","1,977","2,012"
"10007151","The University of Lincoln","3","118","256.818","239.418","3.232","255,762.847","1,214","1,498"
"10003956","Liverpool Hope University","4","35","25.495","20.752","2.431","86,210.260","634","201"
"10003957","Liverpool John Moores University","2","34","24.000","6.544","0.000","156,869.600","250","605"
"10006842","The University of Liverpool","5","259","215.749","83.200","12.434","515,464.200","1,791","755"
"10003958","Liverpool School of Tropical Medicine","1","5","2.100","0.000","0.000","27,514.100","134","120"
"10007162","University of the Arts, London","22","53","9.724","3.934","0.000","236,825.683","113","1,589"
"10007797","University of London (Institutes and activities)","","","","","","208,019.000","",""
"10004048","London Metropolitan University","3","7","2.534","0.375","0.000","83,223.780","24","153"
"10004078","London South Bank University","3","23","8.490","0.360","0.000","154,312.200","30","392"
"10004063","London School of Economics and Political Science","1","43","13.269","1.140","9.300","213,339.173","58","993"
"10007771","London School of Hygiene and Tropical Medicine","3","4","3.020","0.000","0.000","25,486.335","","136"
"10004113","Loughborough University","2","129","174.130","93.390","16.230","325,128.360","4,645","2,268"
"10004180","The Manchester Metropolitan University","1","43","25.680","16.654","2.307","300,951.380","630","1,048"
"10007798","The University of Manchester","6","191","116.980","86.360","8.303","873,719.440","3,662","3,000"
"10004351","Middlesex University","4","34","10.947","6.500","3.200","88,554.314","450","300"
"10007799","Newcastle University","23","209","634.135","22.010","26.450","496,852.660","989","2,466"
"10007138","The University of Northampton","10","33","37.720","29.570","9.000","109,648.000","3,057","553"
"10001282","University of Northumbria at Newcastle","4","58","28.000","25.000","3.000","239,026.000","","1,181"
"10004775","Norwich University of the Arts","","","","","","32,029.000","",""
"10007154","University of Nottingham","5","465","608.040","537.440","29.670","716,650.560","4,591","5,189"
"10004797","The Nottingham Trent University","6","133","266.811","246.869","6.447","248,410.470","1,623","1,179"
"10007773","The Open University","7","74","51.160","26.510","3.230","129,538.000","2,186","668"
"10004930","Oxford Brookes University","7","155","79.200","56.300","13.600","224,136.000","1,217","870"
"10007774","The University of Oxford","13","258","534.914","497.140","11.100","670,399.001","1,845","4,820"
"10007801","University of Plymouth","10","99","18.990","12.030","0.000","184,736.000","568","535"
"10007155","The University of Portsmouth","","90","71.043","20.391","25.282","178,697.670","1,092","1,546"
"10005337","Queen Margaret University, Edinburgh","1","14","16.025","15.052","0.133","46,416.580","431","283"
"10007775","Queen Mary University of London","4","92","26.970","7.395","13.000","267,829.150","226","881"
"10007802","The University of Reading","3","183","130.900","122.900","22.570","198,915.460","2,256","4,239"
"10005500","Robert Gordon University","3","30","56.429","17.000","0.000","106,562.000","1,162","298"
"10007776","Roehampton University","","","","","","121,015.005","",""
"10005523","Rose Bruford College of Theatre and Performance","2","9","6.000","2.000","2.000","13,707.000","116","140"
"10007777","Royal College of Art","3","14","2.147","2.147","0.000","51,081.570","23","110"
"10007778","Royal College of Music","","","","","","16,670.200","",""
"10007816","The Royal Central School of Speech and Drama","2","7","0.620","0.620","0.000","11,672.000","2","60"
"10005553","Royal Holloway and Bedford New College","3","122","77.930","68.880","3.340","185,562.950","795","883"
"10007803","The University of St. Andrews","1","161","53.687","44.500","22.600","290,404.900","1,386","2,036"
"10007782","St George's, University of London","1","9","2.270","0.710","0.000","70,459.120","84","200"
"10008026","St Mary's University College","1","4","","","0.000","15,141.000","184",""
"10007843","St Mary's University, Twickenham","6","50","17.230","10.000","10.000","47,988.000","339","250"
"10007156","The University of Salford","3","35","32.000","32.000","10.000","181,518.000","2,142","414"
"10007780","SOAS University of London","2","6","3.971","0.000","0.000","39,718.300","0","400"
"10005700","SRUC","10","248","","","","125,441.000","",""
"10005790","Sheffield Hallam University","3","66","34.230","20.470","8.610","195,877.850","343","732"
"10007157","The University of Sheffield","21","290","142.800","110.840","8.800","557,232.150","2,528","2,972"
"10006022","Solent University","","","","","","105,689.000","",""
"10007158","The University of Southampton","14","365","106.023","54.920","25.300","475,416.492","2,756","5,986"
"10006299","Staffordshire University","3","34","52.000","42.000","3.420","107,239.000","1,593","580"
"10007804","The University of Stirling","4","63","135.200","133.000","18.100","177,543.000","1,889","453"
"10007805","The University of Strathclyde","6","53","98.180","79.790","18.390","367,526.000","575","773"
"10014001","University of Suffolk","1","10","7.100","7.100","0.000","31,496.800","471","192"
"10007159","The University of Sunderland","7","35","25.300","19.500","0.080","150,862.950","1,437","241"
"10007160","The University of Surrey","3","316","96.850","68.070","16.550","324,447.190","2,343","2,694"
"10007806","The University of Sussex","1","198","96.630","62.753","5.378","280,944.520","1,546","2,117"
"10007855","Swansea University","4","85","54.405","26.945","5.199","248,334.620","1,776","1,030"
"10007161","Teesside University","5","99","41.246","18.432","22.721","176,533.900","1,094","395"
"10008017","Trinity Laban Conservatoire of Music and Dance","3","4","1.600","0.380","0.000","18,836.600","87","32"
"10007858","University of Wales Trinity Saint David","13","111","30.680","16.140","2.970","146,392.010","1,434","198"
"10007807","Ulster University","6","54","175.170","80.000","30.670","255,301.730","4,599","377"
"10007784","University College London","","249","73.368","4.200","36.000","713,426.070","","2,457"
"10007793","University of South Wales","9","84","49.843","49.730","16.000","182,022.037","2,736","229"
"10007163","The University of Warwick","4","437","208.270","169.700","33.230","594,795.870","6,169","3,700"
"10007164","University of the West of England, Bristol","6","285","74.451","58.090","2.757","318,046.416","3,360","1,322"
"10007800","The University of the West of Scotland","6","54","43.600","13.446","0.500","128,442.670","1,484","327"
"10006566","The University of West London","8","16","8.668","2.223","0.000","56,156.000","128","192"
"10007165","The University of Westminster","10","37","11.630","7.520","0.000","157,486.970","388","351"
"10003614","The University of Winchester","3","60","17.100","12.200","4.500","76,929.000","459","257"
"10007166","The University of Wolverhampton","4","","","","","172,074.340","",""
"10007139","University of Worcester","10","61","69.663","35.732","21.797","83,514.789","1,353","815"
"10007833","Wrexham University","7","28","50.000","21.000","2.000","58,073.000","1,340","72"
"10007713","York St John University","9","59","35.130","25.654","6.250","73,347.075","317","782"
"10007167","The University of York","3","434","217.665","184.613","14.521","378,617.021","2,196","5,555"
