﻿Title:,"Table 6 - HE Staff FTE by HE provider and activity standard occupational classification"
Subtitle:,"Academic years 2014/15 to 2024/25"
Reference ID:,DT025 Table 6
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-6
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-6.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2026
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Academic year,2015/16 
Search:,


"UKPRN","HE provider","Managers, directors and senior officials","Professional occupations","Associate professional occupations","Clerical and manual occupations","Total academic staff (excluding atypical)"
"10007783","The University of Aberdeen","0","1,295","10","0","1,305"
"10007849","Abertay University","0","185","5","0","190"
"10007856","Aberystwyth University","5","605","5","0","615"
"10000291","Anglia Ruskin University","5","730","15","0","750"
"10007759","Aston University","0","610","0","0","610"
"10007857","Bangor University","5","750","15","0","770"
"10000571","Bath Spa University","5","340","0","0","350"
"10007850","The University of Bath","0","1,120","0","0","1,120"
"10007152","University of Bedfordshire","0","555","20","0","575"
"10005343","Queen's University Belfast","0","1,590","5","0","1,600"
"10007760","Birkbeck College","0","615","0","0","615"
"10007140","Birmingham City University","5","1,035","15","0","1,055"
"10006840","The University of Birmingham","5","2,950","25","0","2,980"
"10000712","University College Birmingham","0","260","0","0","265"
"10007832","Birmingham Newman University","0","145","5","0","155"
"10000385","The Arts University Bournemouth","0","210","0","0","215"
"10000824","Bournemouth University","0","790","0","0","790"
"10007785","The University of Bradford","0","565","0","0","570"
"10000886","The University of Brighton","0","1,125","0","0","1,130"
"10007786","The University of Bristol","0","2,780","0","0","2,780"
"10000961","Brunel University London","5","830","0","0","840"
"10000975","Buckinghamshire New University","5","350","10","0","360"
"10007787","The University of Buckingham","5","115","0","0","120"
"10007788","The University of Cambridge","10","5,465","0","0","5,475"
"10003324","The Institute of Cancer Research","0","620","5","0","625"
"10001143","Canterbury Christ Church University","5","640","0","0","645"
"10007814","Cardiff University","70","2,660","0","0","2,735"
"10007854","Cardiff Metropolitan University","0","530","0","0","530"
"10007848","University of Chester","5","600","0","0","605"
"10007137","The University of Chichester","0","305","0","0","305"
"10001478","City St George's, University of London","0","860","0","0","865"
"10001653","Conservatoire for Dance and Drama","0","130","0","0","130"
"10007761","Courtauld Institute of Art","0","40","0","0","40"
"10001726","Coventry University","10","1,720","20","0","1,750"
"10007822","Cranfield University","0","630","5","0","635"
"10006427","University for the Creative Arts","0","220","65","0","285"
"10007842","University of Cumbria","0","350","5","0","355"
"10001883","De Montfort University","0","895","0","0","900"
"10007851","University of Derby","0","840","25","0","860"
"10007852","The University of Dundee","0","1,345","5","0","1,345"
"10007143","University of Durham","0","1,540","0","0","1,540"
"10007789","The University of East Anglia","0","1,380","0","0","1,380"
"10007144","The University of East London","0","650","10","0","660"
"10007823","Edge Hill University","0","830","0","0","830"
"10007772","Edinburgh Napier University","5","610","5","0","620"
"10007790","The University of Edinburgh","0","4,000","70","0","4,075"
"10007791","The University of Essex","0","810","0","0","815"
"10007792","The University of Exeter","0","1,715","5","0","1,725"
"10008640","Falmouth University","0","215","15","0","230"
"10004511","The National Film and Television School","0","15","0","0","15"
"10007762","Glasgow Caledonian University","0","720","0","0","725"
"10002681","Glasgow School of Art","0","140","5","0","145"
"10007794","The University of Glasgow","0","2,700","10","0","2,710"
"10007145","University of Gloucestershire","0","370","5","0","370"
"10002718","Goldsmiths College","0","570","10","0","580"
"10006841","University of Greater Manchester","0","285","25","0","310"
"10007146","The University of Greenwich","10","860","5","0","875"
"10007825","Guildhall School of Music and Drama","10","130","10","0","150"
"10040812","Harper Adams University","0","145","0","0","150"
"10007764","Heriot-Watt University","0","780","5","0","785"
"10007147","University of Hertfordshire","5","1,105","10","0","1,120"
"10007765","Heythrop College","0","40","0","0","40"
"10007148","The University of Huddersfield","0","810","0","0","810"
"10007149","The University of Hull","5","915","0","0","920"
"10003270","Imperial College of Science, Technology and Medicine","5","3,915","5","0","3,925"
"10007767","Keele University","0","685","0","0","685"
"10007150","The University of Kent","0","1,495","0","0","1,495"
"10003645","King's College London","0","3,625","25","0","3,650"
"10003678","Kingston University","15","840","0","0","855"
"10007141","University of Lancashire","0","1,135","60","0","1,200"
"10007768","The University of Lancaster","5","1,235","5","0","1,240"
"10003854","Leeds Arts University","0","105","0","0","110"
"10003861","Leeds Beckett University","0","1,025","0","0","1,025"
"10007795","The University of Leeds","5","3,005","10","0","3,015"
"10003863","Leeds Trinity University","0","140","5","0","140"
"10007796","The University of Leicester","0","1,495","15","0","1,510"
"10007151","The University of Lincoln","0","775","0","0","775"
"10007811","Lincoln Bishop University","0","85","0","0","85"
"10003956","Liverpool Hope University","0","250","0","0","255"
"10003957","Liverpool John Moores University","5","1,115","20","0","1,135"
"10003945","The Liverpool Institute for Performing Arts","0","45","0","0","45"
"10006842","The University of Liverpool","5","2,325","5","0","2,330"
"10003958","Liverpool School of Tropical Medicine","10","235","30","0","275"
"10007162","University of the Arts, London","0","1,140","5","0","1,145"
"10007769","London Business School","0","100","0","0","105"
"10007797","University of London (Institutes and activities)","0","60","0","0","60"
"10004048","London Metropolitan University","0","460","0","0","465"
"10004078","London South Bank University","5","650","80","0","730"
"10004063","London School of Economics and Political Science","0","1,085","0","0","1,085"
"10007771","London School of Hygiene and Tropical Medicine","0","695","0","0","695"
"10004113","Loughborough University","0","1,255","30","5","1,290"
"10004180","The Manchester Metropolitan University","0","1,785","60","0","1,845"
"10007798","The University of Manchester","10","4,645","0","0","4,655"
"10004351","Middlesex University","20","865","5","0","890"
"10007799","Newcastle University","20","2,425","5","0","2,450"
"10007138","The University of Northampton","0","560","0","0","565"
"10001282","University of Northumbria at Newcastle","0","1,305","0","0","1,305"
"10004775","Norwich University of the Arts","0","115","0","0","115"
"10007154","University of Nottingham","0","3,195","0","0","3,200"
"10004797","The Nottingham Trent University","0","1,470","0","0","1,470"
"10007773","The Open University","20","2,040","0","0","2,055"
"10004930","Oxford Brookes University","5","820","55","0","880"
"10007774","The University of Oxford","0","6,520","45","0","6,570"
"10005127","Arts University Plymouth","5","90","0","0","95"
"10007801","University of Plymouth","15","1,130","55","0","1,200"
"10007155","The University of Portsmouth","0","1,250","10","0","1,260"
"10005337","Queen Margaret University, Edinburgh","0","210","0","0","210"
"10007775","Queen Mary University of London","0","1,835","10","0","1,850"
"10005389","Ravensbourne University London","0","70","0","0","75"
"10007802","The University of Reading","5","1,270","0","0","1,280"
"10005500","Robert Gordon University","0","560","0","0","560"
"10007776","Roehampton University","5","435","10","0","450"
"10005523","Rose Bruford College of Theatre and Performance","0","40","0","0","40"
"10007835","Royal Academy of Music","0","85","0","0","85"
"10005545","Royal Agricultural University","0","50","0","0","55"
"10007777","Royal College of Art","0","105","0","0","105"
"10007778","Royal College of Music","0","80","0","0","80"
"10005561","Royal Conservatoire of Scotland","0","90","0","0","90"
"10007816","The Royal Central School of Speech and Drama","0","50","0","0","55"
"10005553","Royal Holloway and Bedford New College","0","730","0","0","730"
"10007837","Royal Northern College of Music","0","70","0","0","70"
"10007779","The Royal Veterinary College","0","280","0","0","280"
"10007803","The University of St. Andrews","0","1,080","0","0","1,080"
"10007782","St George's, University of London","5","300","5","0","305"
"10008026","St Mary's University College","0","45","0","0","45"
"10007843","St Mary's University, Twickenham","10","245","20","0","275"
"10007156","The University of Salford","0","870","5","0","875"
"10007780","SOAS University of London","5","450","0","0","455"
"10005700","SRUC","25","280","10","0","315"
"10005790","Sheffield Hallam University","0","1,625","0","0","1,625"
"10007157","The University of Sheffield","0","3,015","0","0","3,015"
"10007158","The University of Southampton","0","2,705","15","0","2,720"
"10006022","Southampton Solent University","0","635","15","0","650"
"10006299","University of Staffordshire","0","585","35","0","620"
"10007804","The University of Stirling","10","625","20","0","660"
"10037449","University of St Mark and St John","0","95","0","0","95"
"10008010","Stranmillis University College","0","45","0","0","45"
"10007805","The University of Strathclyde","0","1,375","0","0","1,375"
"10014001","University of Suffolk","0","165","0","0","165"
"10007159","The University of Sunderland","0","625","0","0","625"
"10007160","The University of Surrey","5","1,030","0","0","1,040"
"10007806","The University of Sussex","0","1,205","0","0","1,205"
"10007855","Swansea University","5","1,175","25","0","1,205"
"10007161","Teesside University","0","690","0","0","690"
"10008017","Trinity Laban Conservatoire of Music and Dance","5","85","0","0","95"
"10007858","University of Wales Trinity Saint David","50","425","5","0","480"
"10007114","University of the Highlands and Islands","0","35","0","0","35"
"10007807","Ulster University","10","1,040","35","0","1,085"
"10007784","University College London","0","6,285","0","0","6,285"
"10007793","University of South Wales","5","975","5","0","985"
"10008574","The University of Wales (central functions)","10","30","5","0","45"
"10007163","The University of Warwick","0","2,235","0","0","2,235"
"10007164","University of the West of England, Bristol","5","1,260","5","0","1,270"
"10007800","The University of the West of Scotland","0","570","0","0","570"
"10006566","The University of West London","0","495","5","0","495"
"10007165","The University of Westminster","0","995","0","0","995"
"10003614","The University of Winchester","0","435","0","0","435"
"10007166","The University of Wolverhampton","0","780","0","0","780"
"10007139","University of Worcester","0","460","10","0","470"
"10007833","Wrexham University","0","210","0","0","210"
"10007657","Writtle University College","0","90","0","0","95"
"10007713","York St John University","5","275","5","0","285"
"10007167","The University of York","0","1,575","0","0","1,575"
"","Total","535","159,030","1,260","5","160,830"
